廉颇,勇士之魂,爆裂冲撞,熔岩重击,天崩地裂,被动：廉颇释放技能过程中会处于霸体状态。进入战斗后廉颇的战意会逐渐提升，战意越高减伤越多，最多获得20%所受到的伤害。当战意充盈时，廉颇提升自身30%攻击速度。脱战后战意逐渐降低。,廉颇向指定方向发起冲锋，对敌人造成150/170/190/210/230/250（+65%物理攻击）点物理伤害并将其击飞0.5秒。 被动：第三次普攻为直拳重击，对敌人造成额外200/260/320/380/440/500（+15%物理加成）点物理伤害。,廉颇迸发狂暴力量并通过臂甲传入地面，获得350点护盾，1秒后地面会崩裂，对区域内的敌人造成100/125/150/175/200/225（+100%物理加成）（+4%最大生命加成）物理伤害，距离中心越近伤害越高，最高提升100%。技能范围内有敌人时会重置爆裂冲撞的冷却时间，并减少范围内敌人30%移动速度，非英雄单位会被拉向范围中心。技能释放期间可以使用其他技能。,廉颇跳向指定区域连续锤击地面三次，第一次：造成60/90/120（+60%物理加成）（+3%最大生命）点物理伤害和30%减速。第二次：造成90（+90%物理加成）（+4%最大生命）点物理伤害和50%减速。第三次：造成120（+150%物理加成）（+6%最大生命）点物理伤害和1秒击飞。
狄仁杰,迅捷,六令追凶,逃脱,王朝密令,被动：狄仁杰的普通攻击能够获得1层迅捷效果，每层迅捷效果会增加3.5%~7%（随等级成长）攻击速度和5％移动速度，最多叠加5层。狄仁杰的第三次普攻将会随机使用一张蓝牌或红牌进行攻击。,狄仁杰向指定方向甩出六道令牌，对命中的目标造成165/185/205/225/245/265(+22％物理加成)点物理伤害和110/130/150/170/190/210点法术伤害，其中蓝牌只能造成50％的伤害，但蓝牌会减少目标30％移动速度，持续1秒，当同一目标受到多道令牌伤害，从第二道令牌开始伤害会衰减至初始伤害的30％，令牌可以触发普通攻击的法球效果,狄仁杰向周围掷出八道令牌，自身会短暂无敌并解除自身负面效果，增加25％移动速度，持续1秒，令牌的伤害和效果与六令追凶相同,狄狄仁杰掷出一道金色密令， 密令附带普攻法球效果，对命中的第个敌方 英雄造成300/375/450(+60%法术攻击)(+120%额外物理攻击)物理伤害和300/375/450(+60%法术攻击)(+ 120%额外物理攻击)法术伤害，并将其晕眩1秒，同时会减少目标50%物理和法术防御，命中后会获得目标视野，持续5秒。期间友军向该目标移动时会增加10%移速。
达摩,真言·心经,真言·无相,真言·明王,真言·普渡,被动：达摩每次释放技能将会获得真言护体，每层真言增加80点物理防御，持续5秒，最多叠加3层；如果技能命中目标，下两次普通攻击将变成双拳攻击，但第二拳只会造成（+30%物理加成）的物理伤害；同时增加100%攻击速度，持续2秒；每次拳击会回复60点生命值,达摩往前冲刺挥出强力冲拳，对路径上的敌人造成200/240/280/320/360/400（+70%物理加成）点物理伤害并击飞目标0.5秒，命中目标后，获得持续衰减的50%加速效果，持续2秒。,达摩快速朝指定方向连续打出五拳，每一拳造成75/90/105/120/135/150（+33%物理加成）点物理伤害并减少目标20/28/36/44/52/60点物理防御，最多叠加5层，持续5秒,达摩向指定方向挥出超强一拳，对附近的敌人造成150/225/300（+55%物理加成）点物理伤害并将敌人向该方向击退；被击退的敌人如果在飞行过程中触碰了地形边缘将会再次受到150/225/300（+45%物理加成）点物理伤害并晕眩1.5秒；成功将敌方击退至地形边缘可再次释放真言·普渡，再次释放时达摩会向指定方向飞踢，对路径上的敌人造成150/225/300（+45%物理加成）点物理伤害并附带目标已损生命值20%的额外伤害
项羽,陷阵之志,无畏冲锋,破釜沉舟,霸王斩,被动：低于30%生命时并受到攻击时，自身减少40%所受到的伤害，持续6秒，每90秒最多触发一次；项羽的普通攻击会对目标额外造成其6%最大生命值的物理伤害；对小兵/野怪造成400点物理伤害；对建筑额外造成6%最大生命值和400点物理伤害；每个目标每5秒只能触发一次。,项羽向指定方向冲撞，冲撞时触碰到的所有敌人会被一起击退，冲撞结束时项羽还会向前方发动一次挑斩，挑斩会将敌人击飞0.5秒，冲撞和挑斩都会对敌人造成130/160/190/220/250/280（+60%物理加成）点物理伤害。,项羽发出怒吼，对附近范围内的敌人造成140/170/200/230/260/290（+80%物理加成）点法术伤害，并且会减少30%的移动速度和25/29/33/37/41/44%的伤害输出，持续3.5秒； 被动：项羽的每1点物理防御会额外增加1.5-2.5点最大生命值（随技能等级成长）,项羽朝指定方向蓄力后斩出一道刀气，对路径上的敌人造成500/750/1000（+100%物理加成）点物理伤害，对被枪刃命中的敌人会造成额外66%伤害并将其眩晕1秒；项羽生命值越低造成伤害越高，最高为基础值的2倍。
武则天,天命之女,女帝辉光,女帝威严,生杀予夺,被动：被动效果的脱离战斗触发时间为3秒（默认脱战时长仍为6秒），武则天脱离战斗后会增加50点移动速度，同时每秒会回复2％最大法力值。,武则天向指定方向释放能量法球，命中敌人后爆开，对范围内的敌人造成360/420/480/540/600/660（+47％法术加成）点法术伤害；由被动强化的女帝辉光将造成双倍伤害并使目标击飞0.75秒；被动：武则天释放任意两个技能后，女帝辉光会立即冷却并得到强化，持续3秒。,武则天的威严不可侵犯，击退附近的敌人并对他们造成250/280/310/340/370/400（+30％法术加成）点法术伤害；如果技能命中敌人，自身会增加30/34/38/42/44/50％移动速度，持续1秒，命中的敌人会减少30/34/38/42/46/50％的移动速度，持续2秒。,武则天以女帝权威施行制裁，在所有敌方英雄脚下召唤法阵并引爆，对范围内敌人造成750/925/1100（+75％法术加成）点法术伤害并晕眩1秒，同时获取敌方视野，持续3秒。
老夫子,师道尊严,圣人训诫,举一反三,圣人之威,被动：老夫子普通攻击命中会增加1点训诫值，最多叠加5点，叠满后会获得强化自身，持续5秒；强化时老夫子会增加60点移动速度和25%攻击速度，同时普通攻击将会附带60点真实伤害，每次攻击能够减少1秒圣人训诫和举一反三的冷却时间,老夫子向指定方向挥动戒尺，将范围内的敌人抽到自己身前，造成200/240/280/320/360/400（+80%物理加成）点物理伤害并减少其25/30/35/40/45/50%移动速度，持续1.5/1.7/1.9/2.1/2.3/2.5秒,老夫子爆发气场，增加25/28/31/34/37/40%移动速度并且减少45/49/53/57/61/65%受到的伤害，持续2秒，同时会反弹英雄的普通攻击，对攻击者造成等量的物理伤害并减少其30%移动速度，持续2秒；反弹会附带普通攻击的法球效果，每个敌人最多被反弹一次；被动：每次普通攻击有25%几率发动两次普通攻击，第二次普通攻击只会造成50%伤害和法球效果。,老夫子向指定方向冲锋造成400/500/600（+120%物理加成）点物理伤害，并且会将第一个撞到的敌方英雄捆在明灯上，令其无法离开明灯的范围，持续5秒，期间将减少20%该英雄造成的伤害
关羽,一骑当千,单刀赴会,青龙偃月,刀锋铁骑,被动：关羽每主动移动200距离将增加2％移动速度；持续移动达到2000距离时会进入冲锋姿态；当关羽的移动速度被减少至375点以下或受到控制效果时需要重新积累；冲锋姿态：关羽的普通攻击会击退敌人并附带(+100%物理攻击)（+10%最大生命）物理伤害；关羽面朝敌方移动时将增加20％移动速度。,关羽旋转大刀对附近的敌人造成215/430/645/860/1075/1290（+127％物理加成）点物理伤害；冲锋姿态：关羽向前发起冲锋造成（100％物理加成）（10％最大生命值）点物理伤害，并在结束时向前劈砍，造成250/500/750/1000/1250/1500（+150％物理加成）点物理伤害,关羽清啸一声，解除自身控制效果并增加30％移动速度，持续2秒；冲锋姿态：关羽清啸一声，解除自身控制效果并向前跃击敌人将其击退，造成335/470/605/740/875/1010(+112％物理加成）点物理伤害,关羽减少75%的冲锋距离，持续10秒； 冲锋姿态：关羽将召唤铁骑向前方突击撞退敌人，并造成（+100％物理加成）（+10％最大生命值）点物理伤害
貂蝉,语·花印,落·红雨,缘·心结,绽·风华,被动：貂蝉的技能命中会为敌人叠加花之印记，持续8秒，叠加满4层后印记触发，回复自身120点生命，同时会对周围敌人造成180（+43％法术加成）点真实伤害并减少其50％移动速度，持续1秒,貂蝉向指定方向挥出花球，花球飞出一段时间后会返回貂蝉手中，挥出和返回会对路径上的敌人造成180/220/260/300/340/380(+57％法术加成）点法术伤害,貂蝉瞬间消失并立即出现在指定位置，同时会散发3枚花球攻击附近的敌人，每枚造成140/155/170/185/200/215(+28％法术加成）点法术伤害，如果花球命中敌人，还会减少4秒缘·心结的冷却时间。,貂蝉绽放风华在原地结成法阵，法阵生成及消失时都将造成210/245/280（+50％法术加成）点法术伤害，当貂蝉处于法阵范围内，落·红雨和缘·心结会获得额外的冷却缩减
安琪拉,咒术火焰,火球术,混沌火种,炽热光辉,被动：安琪拉的技能会灼烧敌人，每层灼烧效果会造成11（+2%法术加成）点法术伤害，灼烧效果最多叠加10层,安琪拉召唤5颗火球朝指定位置攻击，每颗火球对敌人造成350/390/430/470/510/550（+30%法术加成）点法术伤害，当多颗火球命中同一目标时，从第二颗火球开始将只造成30%伤害，当火球命中敌方英雄时会停止移动并销毁,安琪拉朝指定方向释放混沌火种，火种会在命中敌人或飞行到最远距离时裂变为火焰漩涡，火焰漩涡会继续缓慢的向前飞行并且每0.5秒对周围的敌人造成130/145/160/175/190/205（+17%法术加成）点法术伤害，持续3秒；同时范围内的敌人会减少50%移动速度，持续1.5秒；当火种直接命中敌人时还会将其晕眩1秒,安琪拉引导魔力朝指定方向释放炽热光辉，持续3秒，对触碰的敌人每0.3秒造成150/190/230（+21%法术加成）点法术伤害并获得可抵免850/1300/1750（+88%法术加成）点伤害的炽热护盾，护盾存在期间不会受到控制效果，施法1秒后再次释放该技能可以取消引导
程咬金,舍生忘死,爆裂双斧,激热回旋,正义潜能,被动：程咬金每损失1%最大生命值获得额外3～7点物理攻击力，增加幅度随英雄等级成长，并且程咬金释放普通技能会消耗当前10%的最大生命值，大招消耗16%的当前生命值；每次释放技能还会回复8%已损失生命值，回复过程持续3秒,程咬金向指定目标位置猛力一跃并挥动双斧斩击，对范围内敌人造成120/155/190/225/260/295（+50%物理加成）点物理伤害并造成50%的减速效果，持续2秒；被动：程咬金的普通攻击命中敌方英雄会减少1秒爆裂双斧的冷却时间。,程咬金转动双斧劈砍敌人，对范围内的敌人造成两段伤害，每段造成125/150/175/200/225/250（+60%物理加成）点物理伤害。,程咬金迸发正义热情，每秒回复8%最大生命，同时增加移动速度30%，持续5/6/7秒。
露娜,月光之舞,弦月斩,炙热剑芒,新月突击,被动：露娜对新目标的第一次普通攻击会向敌人发起冲锋；露娜的第三次普通攻击将会额外造成150（+35%法术加成）点法术伤害并标记敌人，但无法标记机关。露娜每1点法术攻击将提升0.03%攻击速度,露娜向指定方向挥出一道月光冲击波，对命中的敌人造成350/430/510/590/670/750（+51%法术加成）点法术伤害并标记敌人,露娜将剑插入大地，以炙热剑芒牵引附近的敌人靠近自己造成120/135/150/165/180/195（+31%法术加成）点法术伤害并眩晕0.5秒，同时获得可抵免400/470/540/610/680/750（+80%法术加成）点伤害的护盾并减少其50%移动速度，持续2秒；同时会标记被牵引的敌人,露娜向指定方向发起突击，对路径上敌人造成400/525/650（+60%法术加成）点法术伤害；如果露娜命中了被标记的敌人，将会刷新新月突击的冷却时间
姜子牙,封神,神力封印,打神之罚,天人法则,被动：若姜子牙对目标造成伤害后目标在3秒内死亡，目标会为自己提供1~3个经验光球，可提升自身经验。 姜子牙到达15级时会恢复封神之力，获得一次性技能【赐封神力】，并突破等级上限至25级，每次升级可获得法术攻击。 使用【赐封神力】选定一名队友对其封神，灌注经验，并使其也突破等级上限，且有概率获取经验光球。,姜子牙使用封神法杖对范围内的敌人进行神力封印，每0.4秒造成75(+13.5%法术攻击)法术伤害，持续3.5秒。封印期间的敌人将逐渐减少移速、物理和法术防御，最多将会减少50%移速、10%物理和法术防御。技能命中后为自己提供30%衰减移速，持续1秒。,姜子牙对妄为者施以神罚，释放法阵对范围内敌人造成3次伤害，每次造成60(+12%法术攻击)法术伤害，短暂延迟后法阵爆炸，再造成300(+70%法术攻击)法术伤害和0.75秒击飞。,姜子牙朝指定方向聚集天地力量，向前方发射三道冲击波，前两道冲击波每道造成125(+20%法术攻击)法术伤害，最后一道造成600(+80%法术攻击)法术伤害。姜子牙达到15级恢复封神之力后，【天人法则】的蓄力速度增加10%。蓄力最多持续2秒，移动或使用三技能第二段会立刻释放冲击波，蓄力时间会影响冲击波的攻击距离，最远可达1800距离。冲击波可对路径上的建筑造成10%伤害。
刘邦,君主野望,霸业之盾,双重恐吓,统御战场,被动：当刘邦的650范围内存在敌方英雄或小兵时，刘邦每隔4秒会强化一次普攻，强化普攻会朝前方斩出一道剑气，剑气命中敌人会造成刘邦最大生命值6%~8%的法术伤害,刘邦开启护盾将自身笼罩，持续5秒，护盾可抵免500/650/800/950/1100/1250（+5/6/7/8/9/10%最大生命加成）点伤害，结束时对周围造成400/500/600/700/800/900(+4/4/5/5/6/7%最大生命加成) 点法术伤害；1.5秒后再次施放可立即结束护盾，若护盾被击破，则不会造成伤害。,刘邦蓄力冲锋后挥剑冲锋300~550距离，对路径上敌人造成（基础伤害）150/180/210/240/270/300（蓄力伤害）600/720/840/960/1080/1200（+60%物理加点）点法术伤害和0.5-1秒晕眩效果，冲锋距离、攻击伤害和晕眩时长和蓄力时间成正比。蓄力达2秒后各效果强度达到上限，最多可保存蓄力状态5秒，蓄力期间若取消或被打断，该技能会执行40%冷却时间,刘邦指定一名队友并开始原地吟唱，2.2秒后传送到该队友位置，期间刘邦和该队友将减少20%所受到的伤害，该队友获得700(+200/Lv)(+7.5%最大生命值)点护盾。传送后刘邦增加30%移动速度，持续1.5秒
韩信,杀意之枪,无情冲锋,背水一战,国士无双,被动：韩信的第四次普通攻击会将敌人击飞0.5秒；韩信释放技能命中目标后会增加50%攻击速度,韩信持枪向指定目标周围发起冲锋，冲锋会对范围内目标造成300/320/340/360/380/400（+55％物理加成）点物理伤害并将范围内敌人击飞0.8秒；冲锋后5秒内可发动第二次冲锋，但不会击飞敌人,韩信向后跳跃并使下一次普通攻击变更为横扫攻击，持续3秒，横扫会对范围内敌人造成180/200/220/240/260/280(+100％物理加成）点物理伤害,韩信朝指定方向乱舞四次长枪，对命中的敌人每次造成250/300/350(+85％物理加成）点物理伤害；最后一次攻击会将范围内的敌人击飞0.5秒；乱舞期间韩信处于霸体状态并获得30%伤害减免
王昭君,冰封之心,凋零冰晶,禁锢寒霜,凛冬已至,被动：王昭君脱离战斗后会获得可抵免480（+58%法术加成）点伤害的寒冰护盾，护盾对物理攻击者施加冰冷效果。护盾破裂时对附近敌人造成一次冰霜冲击造成480（+58%法术加成）点法术伤害并减少其50%移动速度，持续1秒；王昭君第三次普攻出发3枚尖刺总共造成240（+30%法术加成）点伤害冰冷效果：减少目标50%移动速度与35%攻击速度持续2秒并随时间衰减。,王昭君在指定位置操控碎裂冰晶绽开，对范围内的敌人造成400/465/530/595/660/725（+55%法术加成）点法术伤害并对其造成冰冷效果，持续1秒；同时还会获得敌人视野。冰冷效果：减少目标50%移动速度与30%攻击速度持续1秒。,王昭君在指定区域引领寒霜之力，短暂延迟后将范围内敌人并造成250/280/310/340/370/400（+47%法术加成）点法术伤害并对其冰冻2.5秒；被动：王昭君对冰冻的敌人会额外造成150/175/200/225/250/275（+22%法术加成）点法术伤害。,王昭君召唤寒冬之力刷新寒冰护盾，在指定位置降下暴风雪对范围内敌人造成250/325/400（+22%法术加成）点法术伤害和冰冷效果，持续5秒；冰冷效果：减少目标50%移动速度与30%攻击速度持续1秒。
兰陵王,秘技·极意,秘技·分身,秘技·影蚀,秘技·暗袭,秘技·隐匿,被动：兰陵王朝敌方英雄移动时会增加20%移动速度,兰陵王以拳刃挥砍身边敌人，造成220/265/310/355/400/445（+90%物理加成）点物理伤害，同时召唤出影分身随机攻击附近一名敌人，影分身会造成等量的伤害。,兰陵王向指定方向投射暗影匕首，对路径上的敌人造成165/186/207/228/249/270（+57%物理加成）点物理伤害并减少其90%移动速度，持续2秒，该效果会持续衰减；被匕首命中的敌人会被标记，持续3秒，期间再次受到兰陵王攻击将晕眩1秒并使其回复140/168/196/224/252/280（+60%物理加成）点生命值；标记消失时该目标还会受到已损失生命值24%物理伤害；当匕首命中敌方英雄时会停止移动并销毁,向指定方向冲锋并对路径上敌人造成660/830/1000（+188%物理加成）点物理伤害,兰陵王开始准备并于1.5秒后进入隐身状态，持续30秒，隐身后获得20%移速加成，持续5秒，解除隐身状态后兰陵王会增加50%攻击速度，持续5秒；隐身时若处于敌人附近超过3秒，隐身状态将会自动解除。
花木兰,长城巡守者,空裂斩,旋舞之华,绽放刀锋,被动：花木兰使用轻剑时，增加40点移动速度，普通攻击和技能伤害将会对敌方英雄叠加平衡印记，持续5秒；叠加满5层后将触发印记，造成140%物理加成点物理伤害，同时将该目标沉默并减少其90%移动速度，持续1秒；花木兰使用重剑时，普通攻击的基础攻击速度会降低，但会额外造成50%物理加成的物理伤害；并且释放技能过程中将处于霸体状态并减少40%所受到的伤害。,花木兰冲锋后向指定方向挥砍，对命中的目标造成60/70/80/90/100/110（+40%物理加成）点物理伤害；如果该技能命中目标，可在5秒内发起第二次空裂斩。,花木兰向指定方向投掷轻剑，对路径上的敌人造成180/200/220/240/260/280（+90%物理加成）点物理伤害，轻剑会在终点旋转3秒，对范围内敌人每0.5秒造成100（+36%物理加成）点物理伤害并减少50%移动速度，持续1秒；拾起轻剑会减少5秒旋舞之华的冷却时间。,花木兰拔出重剑横扫，对附近的敌人造成200/280/360（+110%物理加成）点物理伤害，同时增加60点攻击力，持续5秒；拔出重剑后，会使用重剑技能。
张良,言灵·咒令,言灵·壁垒,言灵·命数,言灵·操纵,被动：张良对任一敌人造成的相邻两次普攻或技能伤害的时间间隔若小于1.5秒，这两次伤害的间隔时间被视为“连续攻击状态”，该状态每积累满1.2秒，会使该敌人额外承受100（+50%法术加成）点真实伤害，该伤害随英雄等级每级成长10点。,张良以言灵之术召唤4道并列的法术壁垒，敌人触碰壁垒将受到400/450/500/550/600/650（+75%法术加成）点法术伤害、0.75秒晕眩和之后0.5秒50%减速，并撞碎这块壁垒。重复触碰壁垒的敌人承受的伤害衰减50%，不再承受晕眩效果，但会承受1.25秒50%减速效果。,张良以言灵之术召唤侵蚀法阵，法阵每0.5秒对踏入其中的敌人之一造成120/144/168/192/216/240（+17%法术加成）点法术伤害，同时最多存在2个法阵(法阵对小兵野怪额外造成50%伤害)。法阵每12秒存储一次（受到减CD属性影响），最多存储3次，每个法阵持续5.5秒。张良在法阵中提升60点移动速度。法阵可提供视野。,张良以言灵之术抓住一名敌方英雄，持续2.2秒，期间每0.5秒造成120/150/180（+15%法术加成）点法术伤害，并持续压制对方。技能完整释放后，还会在目标身下生成一个法术区域，对踏进其中的敌人造成240/300/360（+30%法术加成）点法术伤害和0.75秒晕眩。
不知火舞,忍蜂,飞翔龙炎阵,花蝶扇,必杀·忍蜂,被动：不知火舞每隔5秒的第一次普通攻击将会向当前朝向释放忍蜂，额外造成100（+100%法术加成）的法术伤害并将敌人击退，忍蜂命中敌人回复10点能量；不知火舞使用技能后能翻滚一段距离，并且会增加50%移动速度，持续0.5秒，该效果会随时间衰减。普通技能命中敌人将会回复25点能量值，大招每命中一名敌人都将会回复25点能量值,不知火舞向上飞踢腾空，对范围内敌人造成550/620/690/760/830/900（+73%法术加成）点法术伤害并将其击飞0.75秒,不知火舞扔出扇子，对第一个命中的目标造成500/590/680/770/860/950（+100%法术加成）点法术伤害并减少其90%移动速度，持续0.5秒，同时减少50/80/110/140/170/200点法术防御，持续3秒，命中敌人回复能量10点,不知火舞向前冲刺，对命中的敌人造成800/1000/1200（+110%法术加成）点法术伤害并将其击退；同时敌人会减少20%/25%/30%物理攻击力，持续2.5秒
娜可露露,流刀舞术,飞鹰攻击,风之刃,飞鹰急袭,被动：娜可露露的技能命中敌人时，下一次普通攻击变更为强化攻击，强化攻击会额外造成80（+100%额外物理加成）的物理伤害。,娜可露露召唤玛玛哈哈向指定方向攻击敌人，造成350/400/450/500/550/600（+155%额外物理加成）点物理伤害，并对敌人施加鹰眼标记；娜可露露的其它伤害可以触发印记，对敌人造成最大生命值6%物理伤害；每40点额外物理攻击额外增幅1%；触发印记飞鹰攻击会减少3秒冷却时间并恢复35点法力值,娜可露露向指定方向冲刺，对路径上的敌人造成350/420/490/560/630/700（+170%额外物理加成）点物理伤害，每命中一名敌方英雄将回复300/350/400/450/500/550（+110%额外物理加成）点生命值。该技能命中野怪时，造成的伤害提升50%，同时回复自身的生命值，回复量为命中英雄时的35%。,娜可露露召唤玛玛哈哈并肩作战，立即增加50%的移动速度，持续6秒，该效果会持续衰减；再次释放飞鹰急袭，娜可露露将朝指定区域发起进攻，对敌人造成580/830/1080（+240%额外物理加成）点物理伤害并减少50%移动速度，持续3秒；受到冲击的敌人将减少30%伤害输出，持续3秒。
橘右京,秘剑胧刀,燕返,居合,细雪,被动：橘右京下次普攻变为拔刀斩，拔刀斩具有更长射程，对敌人造成(130%物理攻击)物理伤害并减少50%移速，持续2秒，对攻击边缘的敌人造成额外(65%物理攻击)物理伤害。拔刀斩每5秒可准备1次。,橘右京跃向后方，同时向前方挥刀，对附近的敌人造成150/180/210/240/270/300（+140%物理加成）点物理伤害，若成功命中一名敌方单位，可激活二段使用,橘右京向指定方向快速拔刀，对路径上的第一个敌人造成330/350/400/450/500/550（+180%物理加成）点物理伤害，并将路径末端的敌人眩晕0.75秒。,橘右京向指定方向连续拔刀四次，每次命中造成130/180/230（+55%物理加成）点物理伤害并且每次命中敌方英雄，自身将回复80/160/240（+54%物理加成）点生命值（命中非英雄单位效果减半）。
亚瑟,圣光守护,誓约之盾,回旋打击,圣剑裁决,被动：亚瑟获得圣光守护，每2秒回复2%的最大生命值，当移速受损时，被动回复效果翻倍。,亚瑟增加30%移动速度，持续3秒，下一次普通攻击变更为跳斩，跳斩会造成180/205/230/255/280/305（+100%物理加成）点物理伤害并将目标沉默1.25秒，同时跳斩命中的敌方英雄会被标记，持续5秒，亚瑟的普通攻击和技能会额外造成目标最大生命值1%的法术伤害；标记附近的友军会增加10%的移动速度,亚瑟召唤圣盾围绕自身旋转，对路径上的敌人会造成145/163/181/199/217/235（+80%物理加成）点物理伤害，圣盾最多持续5秒,亚瑟举起圣剑跃向敌方英雄，造成敌方英雄最大生命16/20/24%法术伤害并将其击飞0.5秒；同时召唤圣印覆盖落点范围，圣印会对范围内敌人造成每秒85/105/125点法术伤害，持续5秒。
孙悟空,大圣神威,护身咒法,斗战冲锋,如意金箍,被动：孙悟空每次释放技能后下一次普通攻击变更为强力敲击，强力敲击会冲锋至目标身旁并抡起金箍棒敲打造成425（+100%物理加成）点物理伤害，该伤害可全额享受暴击收益。孙悟空天生拥有20%暴击几率，但初始只能造成150%暴击伤害,孙悟空念起护身咒，护身咒可为孙悟空抵挡一次敌方技能，护身咒最多持续1.5秒；若成功抵挡，孙悟空将获得0.2秒的无敌效果以及抵免500/600/700/800/900/1000（+150%物理加成）点伤害的护盾，持续4秒。开启技能时自身增加40%移动速度，持续1秒,孙悟空向指定方向冲锋，若路径上触碰目标会借力腾空跳跃，若触碰到非友军单位将增加1 秒90%衰减的移动速度，对野怪可造成240（+20/Lv）（0.2Ad）真实伤害。释放普通攻击或技能可中断跳跃。 降妖除魔：位移期间触碰到当前生命低于15%的野怪将直接斩杀(主宰、暴君除外)。,孙悟空将变大的金箍棒直插入地，对范围内敌人造成150/190/230（+50%物理加成）点物理伤害并将其晕眩1秒。同时范围内敌人获得3层印记；孙悟空的普通攻击命中带有印记的敌人将消耗1层印记并额外造成270/405/540点物理伤害。
牛魔,强力援护,咆哮之斧,横行霸道,山崩地裂,被动：当牛魔附近800范围内有友方英雄时，为自身和范围内生命值最低的友方英雄提供110(+8/Lv)点双抗加成。,牛魔以大斧横劈，对范围内的敌人造成450/550/650/750/850/950（+110%物理加成）物理伤害。同时标记命中的英雄，持续4秒，持续时间结束后，造成40(+20%物理攻击物理伤害，标记英雄每次受到普通攻击会叠加一层，至多12层，每层印记额外提供20(+10%物理攻击)物理伤害，印记每达到4、8、12层时，伤害会额外增加40(+20%物理攻击)。,牛魔朝指定方向冲锋，对路径上的敌人造成450/530/610/690/770/850（+90%物理加成）点物理伤害并击飞0.75秒；敌人落地后会减少90%移动速度，持续1秒,牛魔短暂蓄力后向指定方向以巨斧猛力劈开大地，对范围内敌人造成550/700/850（+130%物理加成）点物理伤害并将其击飞1秒；同时被劈开的大地被撕裂5秒，对处于其中的敌人每0.5秒造成80/100/120（+20%物理加成）点物理伤害并减少其50%移动速度
后羿,惩戒射击,多重箭矢,落日余晖,灼日之矢,后羿普攻命中会累积射击状态，每层增加4%攻速，最多累计3层。3层后进入【惩戒射击】 状态，普攻射出3支箭矢，总共造成原来130%的伤害，每支箭失造成50%法球效果，状态持续3秒。,后羿强化自身攻击，每次攻击造成105/130/155/180/205/230（+75%物理加成）点物理伤害（若触发惩戒射击则每支箭矢造成原伤害的40%和60%法球效果并对面前区域内另外2名敌人造成50%伤害（不附带法球效果），该效果持续5秒。,后羿命令日之塔进行攻击，短暂时间后对指定范围敌人造成300/350/400/450/500/550(+50%物理攻击法术伤害并减少其30%移速，持续2秒。 中心点被命中的敌人将受到50%减速和额外50%伤害。,后羿向指定方向射出火焰箭。击中敌方英雄时会将其眩晕并引发爆炸，爆炸对范围内的敌人造成700/1000/1300（+90%物理加成）点物理伤害；被火焰箭直接命中的敌方英雄将会根据火焰箭的飞行距离眩晕0.5~3.5秒，且技能命中后的溅射伤害会造成90%减速，持续1秒。
刘备,强化霰弹,双重射击,身先士卒,以德服人,刘备霞弹枪有四颗弹丸，中间的两颗弹丸会对敌人造成(50%物理攻击)物理伤害，外侧的两颗弹丸会对敌人造成(30%物理攻击)物理伤害。每颗弹丸命中敌方英雄，会增加1层战斗本能，每层增加3~11点物理穿透，持续6秒，最多叠加12层。 每次射击只有中间的2颗弹丸能够暴击并触发装备效果。建筑不受额外弹丸影响。,刘备增加40%移动速度，持续1.5秒，并在下一次普通攻击变更为两次连射，连射时每颗弹丸会造成150/170/190/210/230/250（+25%物理加成）点物理伤害,刘备向指定方向冲撞，对撞击到的敌人造成180/200/220/240/260/280（+70%物理加成）点物理伤害并停止冲撞；若撞击到敌方英雄将减少2秒身先士卒的冷却时间,刘备立即解除自身的控制效果，并获得可抵免1000/1500/2000点伤害的护盾，持续6秒；开启技能后获得3秒免疫控制效果，同时将对敌方英雄造成伤害的60%转化为护盾值，对小兵和野怪造成伤害的20%转化为护盾值，护盾上限为初始值的150%；释放技能还会获得50/100/150点物理攻击力加成，持续6秒
张飞,黑暗潜能,画地为牢,守护机关,狂兽血性,被动：张飞变身前，每次普通攻击会增加3点狂意；张飞变身后，施放技能会使得周围的地面震动，附近的敌人将会减少50％移动速度，持续2秒。,张飞向四周挥扫蛇矛，对范围内的敌人造成450/550/650/750/850/950（+100％物理加成）点物理伤害；命中敌方英雄时会将其击退；每命中一个敌方非英雄单位会增加1点狂意，命中敌方英雄会增加3点狂意；,张飞向指定区域跳跃，落地时启动机关印记，机关会给范围内友军生成可抵免550/740/930/1120/1310/1500（+50％物理加成）点伤害的护盾；释放技能会增加3点狂意，每给一位友方英雄生成一个护盾可额外增加1点狂意；变身后，张飞向指定区域跳跃，践踏该区域敌军造成380/430/480/530/580/630（+94％物理加成）点物理伤害,张飞狂意达顶峰，指定方向怒吼形成狂风通路并展现魔种真身，获得相当于自身最大生命值40％的护盾，持续15秒；怒吼期间免疫控制，狂风会推开敌人并造成500/750/1000（+65％物理加成）点物理伤害，同时狂风末端的敌人将被眩晕1.5秒；张飞在狂风中会增加50％移动速度；魔种真身：张飞处于魔种真身状态下，普通攻击将会额外造成40/50/60（+100%物理加成）点伤害
